State,Age Group,Hospitalization Rate,Critical Care,Proportion,Mortality
New South Wales,0-9,0.001,0.05,0.118680470210809,2.00E-05
New South Wales,10-19,0.003,0.05,0.17180608280807,6.00E-05
New South Wales,20-29,0.012,0.05,0.135957126673804,0.0003
New South Wales,30-39,0.032,0.05,0.134795312405754,0.0008
New South Wales,40-49,0.049,0.063,0.121353396993184,0.0015
New South Wales,50-59,0.102,0.122,0.114347522656674,0.006
New South Wales,60-69,0.166,0.273999999999999,0.097457509311478,0.022
New South Wales,70-79,0.243,0.432,0.066167337067978,0.051
New South Wales,80-Plus,0.273,0.709,0.039435241872248,0.093
Victoria,0-9,0.001,0.05,0.125480441948561,2.00E-05
Victoria,10-19,0.003,0.05,0.11643930480551,6.00E-05
Victoria,20-29,0.012,0.05,0.153839844791543,0.0003
Victoria,30-39,0.032,0.05,0.149396496667682,0.0008
Victoria,40-49,0.049,0.063,0.130410789569019,0.0015
Victoria,50-59,0.102,0.122,0.119076561056227,0.006
Victoria,60-69,0.166,0.273999999999999,0.098726883966141,0.022
Victoria,70-79,0.243,0.432,0.066413299001442,0.051
Victoria,80-Plus,0.273,0.709,0.040216378193874,0.093
Queensland,0-9,0.001,0.05,0.130380858158543,2.00E-05
Queensland,10-19,0.003,0.05,0.127605888421503,6.00E-05
Queensland,20-29,0.012,0.05,0.140735541651096,0.0003
Queensland,30-39,0.032,0.05,0.136596542836063,0.0008
Queensland,40-49,0.049,0.063,0.132952012047693,0.0015
Queensland,50-59,0.102,0.122,0.123875319797246,0.006
Queensland,60-69,0.166,0.273999999999999,0.10311844235984,0.022
Queensland,70-79,0.243,0.432,0.069011327450022,0.051
Queensland,80-Plus,0.273,0.709,0.035724067277994,0.093
South Australia,0-9,0.001,0.05,0.118363050844336,2.00E-05
South Australia,10-19,0.003,0.05,0.117578103419701,6.00E-05
South Australia,20-29,0.012,0.05,0.133804762167836,0.0003
South Australia,30-39,0.032,0.05,0.130071082628952,0.0008
South Australia,40-49,0.049,0.063,0.126432931882216,0.0015
South Australia,50-59,0.102,0.122,0.129888657164429,0.006
South Australia,60-69,0.166,0.273999999999999,0.114948759737031,0.022
South Australia,70-79,0.243,0.432,0.07976539049408,0.051
South Australia,80-Plus,0.273,0.709,0.049147261661418,0.093
Western Australia,0-9,0.001,0.05,0.132949474227126,2.00E-05
Western Australia,10-19,0.003,0.05,0.121882783044051,6.00E-05
Western Australia,20-29,0.012,0.05,0.137881666699432,0.0003
Western Australia,30-39,0.032,0.05,0.150697272087029,0.0008
Western Australia,40-49,0.049,0.063,0.13493507199382,0.0015
Western Australia,50-59,0.102,0.122,0.124008694844346,0.006
Western Australia,60-69,0.166,0.273999999999999,0.099892413058302,0.022
Western Australia,70-79,0.243,0.432,0.062995604393063,0.051
Western Australia,80-Plus,0.273,0.709,0.034757019652831,0.093
Tasmania,0-9,0.001,0.05,0.116432392324029,2.00E-05
Tasmania,10-19,0.003,0.05,0.120573994222958,6.00E-05
Tasmania,20-29,0.012,0.05,0.121342499876963,0.0003
Tasmania,30-39,0.032,0.05,0.116699287144755,0.0008
Tasmania,40-49,0.049,0.063,0.123831625332672,0.0015
Tasmania,50-59,0.102,0.122,0.137077937073394,0.006
Tasmania,60-69,0.166,0.273999999999999,0.129561346058475,0.022
Tasmania,70-79,0.243,0.432,0.088012826094363,0.051
Tasmania,80-Plus,0.273,0.709,0.04646809187239,0.093
Northern Territory,0-9,0.001,0.05,0.149268592800071,2.00E-05
Northern Territory,10-19,0.003,0.05,0.127965902743485,6.00E-05
Northern Territory,20-29,0.012,0.05,0.165560313772474,0.0003
Northern Territory,30-39,0.032,0.05,0.177929878813882,0.0008
Northern Territory,40-49,0.049,0.063,0.139368083607898,0.0015
Northern Territory,50-59,0.102,0.122,0.119457779144978,0.006
Northern Territory,60-69,0.166,0.273999999999999,0.077358353099272,0.022
Northern Territory,70-79,0.243,0.432,0.032882966752746,0.051
Northern Territory,80-Plus,0.273,0.709,0.010208129265193,0.093
Australian Capital Territory,0-9,0.001,0.05,0.133079911222968,2.00E-05
Australian Capital Territory,10-19,0.003,0.05,0.115598067458175,6.00E-05
Australian Capital Territory,20-29,0.012,0.05,0.164794150040797,0.0003
Australian Capital Territory,30-39,0.032,0.05,0.163233653441299,0.0008
Australian Capital Territory,40-49,0.049,0.063,0.13575131012729,0.0015
Australian Capital Territory,50-59,0.102,0.122,0.113259701364721,0.006
Australian Capital Territory,60-69,0.166,0.273999999999999,0.088177573094755,0.022
Australian Capital Territory,70-79,0.243,0.432,0.056237347726694,0.051
Australian Capital Territory,80-Plus,0.273,0.709,0.029868285523302,0.093
Australia,0-9,0.001,0.05,0.127161376710144,2.00E-05
Australia,10-19,0.003,0.05,0.120349779815527,6.00E-05
Australia,20-29,0.012,0.05,0.144778376129902,0.0003
Australia,30-39,0.032,0.05,0.143528070318134,0.0008
Australia,40-49,0.049,0.063,0.130737132849756,0.0015
Australia,50-59,0.102,0.122,0.122417611747783,0.006
Australia,60-69,0.166,0.273999999999999,0.102710364873468,0.022
Australia,70-79,0.243,0.432,0.068733756751876,0.051
Australia,80-Plus,0.273,0.709,0.039583530803411,0.093
